backend,seed,inter_node_distance_km,database_size_log,num_nodes,query_id,src,dst,hop_distance,success,failure_reason,tts_ms,fidelity,pair_arrival_ms
odo,42,20.0,5,25,6,router_1,router_12,3,True,,1208.37178751,0.9028411502690128,23.960;70.321;121.962;160.322;191.963;227.323;268.083;308.284;340.484;378.125;407.765;728.325;796.966;826.607;920.168;1003.369;1015.009;1019.769;1036.530;1094.090;1187.732;1208.372
odo,42,20.0,5,25,7,router_1,router_12,3,True,,1271.21063751,0.8978051438965453,16.960;67.601;79.760;141.961;172.322;207.522;293.723;350.924;369.124;410.324;470.525;827.486;881.886;935.087;960.727;1012.887;1121.089;1142.729;1183.369;1211.010;1244.570;1271.211
odo,42,20.0,5,25,8,router_1,router_12,3,True,,1270.41042501,0.901416148787326,30.360;134.002;168.642;212.962;310.603;360.963;377.163;397.924;430.684;451.325;459.645;794.605;814.005;877.206;918.847;986.487;1018.568;1034.208;1071.848;1200.130;1218.770;1270.410
odo,42,20.0,5,25,21,router_2,router_12,5,True,,1510.61045001,0.8215559832512024,60.241;82.481;133.322;182.722;227.522;277.763;311.804;349.924;419.165;496.366;523.245;1036.086;1078.207;1105.087;1119.447;1165.648;1201.488;1321.609;1379.329;1390.569;1421.769;1510.610
odo,42,20.0,5,25,22,router_2,router_12,5,True,,1536.29040001,0.8187389208691107,31.240;100.441;136.082;161.322;199.562;252.803;304.604;369.845;430.085;487.206;513.446;957.687;970.807;985.687;1038.487;1166.609;1227.850;1284.090;1353.211;1420.929;1499.170;1536.290
odo,42,20.0,5,25,23,router_2,router_12,5,True,,1506.21045001,0.8231096479093304,32.680;102.241;139.522;184.762;274.003;315.803;358.043;391.284;414.844;558.966;589.685;1072.366;1115.486;1135.726;1217.847;1261.447;1305.248;1332.048;1359.288;1415.729;1472.970;1506.210
odo,42,20.0,5,25,24,router_4,router_12,4,True,,1222.85065001,0.8651942513815849,59.961;135.522;157.082;204.323;247.883;286.444;306.563;396.805;429.605;493.606;553.167;927.727;962.287;976.288;1008.848;1041.088;1081.329;1101.889;1137.450;1166.010;1181.610;1222.851
odo,42,20.0,5,25,25,router_4,router_12,4,True,,1306.29173751,0.8645118351518983,41.561;105.361;157.922;174.482;192.042;226.843;274.404;387.885;471.126;538.367;550.607;930.167;970.168;1003.768;1038.329;1097.930;1112.970;1144.210;1202.451;1257.132;1277.692;1306.292
odo,42,20.0,5,25,26,router_4,router_12,4,True,,1382.45275001,0.8621537016087246,24.560;78.161;119.402;157.962;227.523;252.203;303.443;345.044;379.284;392.525;417.605;788.165;832.725;885.286;979.288;1034.848;1118.089;1140.329;1182.250;1224.491;1310.052;1382.453
odo,42,20.0,5,25,12,router_7,router_12,3,True,,1109.73000001,0.9043405210238246,17.560;80.761;103.321;135.882;157.442;177.282;188.322;204.883;239.923;268.483;315.684;678.245;706.885;808.447;824.007;846.247;876.807;931.048;960.408;1019.969;1066.529;1109.730
odo,42,20.0,5,25,13,router_7,router_12,3,True,,1191.41062501,0.8988598110395914,77.561;89.761;138.322;178.162;230.323;256.883;287.124;305.684;328.884;374.445;437.005;801.566;811.126;852.687;914.247;949.288;975.848;1033.289;1085.449;1157.650;1171.210;1191.411
odo,42,20.0,5,25,14,router_7,router_12,3,True,,1084.84968751,0.9035658477770694,17.760;70.401;91.841;168.162;195.203;216.643;246.203;271.403;298.604;350.164;434.365;803.926;814.486;837.047;860.247;901.688;918.328;991.769;1008.889;1037.449;1063.649;1084.850
odo,42,20.0,5,25,15,router_8,router_12,5,True,,1501.93007501,0.8191166813095243,28.840;50.081;121.882;181.122;204.362;236.882;312.523;440.325;538.524;578.725;652.966;1091.206;1135.007;1177.407;1203.447;1245.688;1268.248;1295.368;1351.489;1417.249;1465.490;1501.930
odo,42,20.0,5,25,16,router_8,router_12,5,True,,1573.65141251,0.8187231922537807,68.681;152.802;240.442;257.682;316.883;356.083;433.883;451.124;494.364;558.885;644.686;1083.126;1130.367;1166.007;1221.208;1300.329;1341.849;1390.970;1410.170;1490.411;1517.251;1573.651
odo,42,20.0,5,25,17,router_8,router_12,5,True,,1607.09315001,0.8176764959425276,67.681;127.922;154.762;191.562;243.683;256.923;323.764;377.164;452.405;498.205;584.446;1025.687;1116.487;1151.288;1170.528;1249.769;1345.970;1400.211;1422.451;1468.571;1507.852;1607.093
odo,42,20.0,5,25,9,router_11,router_12,1,True,,516.00492501,0.9899210708723486,6.400;20.800;24.800;48.001;92.001;100.002;114.402;128.802;140.802;143.202;152.002;360.002;362.403;392.003;440.004;443.204;444.804;455.204;461.604;473.604;478.404;516.005
odo,42,20.0,5,25,10,router_11,router_12,1,True,,526.40508751,0.9899210708723486,5.600;22.400;30.400;38.401;60.801;76.001;77.601;88.001;129.602;132.002;167.203;370.403;372.803;385.603;394.403;424.804;428.004;432.004;440.804;472.004;513.605;526.405
odo,42,20.0,5,25,11,router_11,router_12,1,True,,654.40708751,0.9899210708723486,13.600;14.400;27.200;37.601;39.201;96.802;142.402;164.803;182.403;183.203;194.403;483.204;485.604;488.805;541.605;551.205;561.606;620.007;628.007;650.407;652.007;654.407
odo,42,20.0,5,25,3,router_13,router_12,5,True,,1764.25326251,0.8121856818065432,22.680;103.441;202.283;221.482;287.923;330.124;366.324;438.965;499.365;546.566;688.207;1165.048;1186.248;1233.448;1309.569;1370.690;1439.290;1459.410;1535.291;1576.412;1683.933;1764.253
odo,42,20.0,5,25,4,router_13,router_12,5,True,,1329.60997501,0.8255633316457809,19.240;76.441;113.641;149.842;178.042;219.243;250.082;283.323;299.443;330.603;402.764;854.005;910.805;971.045;1028.806;1119.607;1132.727;1199.687;1243.449;1280.689;1309.490;1329.610
odo,42,20.0,5,25,5,router_13,router_12,5,True,,1754.73323751,0.8118710852726692,25.240;112.361;182.242;224.682;262.803;281.923;376.124;490.245;544.686;647.887;736.525;1274.767;1358.808;1400.849;1438.049;1480.890;1544.011;1579.251;1638.931;1693.052;1730.293;1754.733
odo,42,20.0,5,25,18,router_16,router_12,3,True,,1275.89241251,0.8987382505777144,41.961;61.601;96.241;158.882;210.043;278.244;296.444;318.084;370.725;388.365;409.485;759.846;807.007;844.647;875.767;963.968;1034.169;1099.370;1146.531;1211.732;1239.692;1275.892
odo,42,20.0,5,25,19,router_16,router_12,3,True,,1137.92848751,0.9016994337520059,107.561;128.762;161.962;177.122;242.763;304.923;325.123;343.484;379.124;390.244;397.444;723.404;754.604;765.245;802.565;885.766;898.966;931.607;957.927;976.127;1032.768;1137.928
odo,42,20.0,5,25,20,router_16,router_12,3,True,,1264.73262501,0.9022601660480613,91.561;114.201;136.842;177.482;233.123;263.763;362.404;436.766;448.966;520.167;552.807;877.567;979.209;1061.850;1107.410;1134.571;1150.531;1183.291;1192.852;1227.212;1247.172;1264.733
odo,42,20.0,5,25,27,router_18,router_12,5,True,,1593.73286251,0.8180816899935427,61.681;84.921;147.642;172.763;263.204;395.725;422.525;462.046;494.566;570.687;630.208;1070.249;1147.649;1229.450;1258.850;1273.570;1316.691;1336.331;1445.453;1480.693;1555.894;1593.733
odo,42,20.0,5,25,28,router_18,router_12,5,True,,1407.37073751,0.8230158711425057,64.241;84.840;138.641;193.442;238.882;314.483;387.284;430.524;448.284;473.365;570.926;989.366;1016.886;1057.366;1129.567;1194.008;1264.849;1298.090;1322.130;1346.930;1376.571;1407.371
odo,42,20.0,5,25,29,router_18,router_12,5,True,,1408.69247501,0.8237786217309786,28.240;41.440;85.081;106.721;146.762;167.602;196.843;250.483;314.524;437.366;501.687;958.928;1016.569;1032.769;1157.330;1185.130;1212.210;1233.931;1289.051;1315.091;1347.892;1408.692
odo,42,20.0,5,25,0,router_21,router_12,4,True,,1379.53032501,0.8600893866993315,32.560;130.802;178.402;218.162;243.843;292.163;333.364;384.925;484.166;506.125;515.685;894.246;948.486;1041.047;1100.487;1153.088;1211.849;1263.089;1322.690;1353.450;1366.930;1379.530
odo,42,20.0,5,25,1,router_21,router_12,4,True,,1261.09103751,0.8667659727634905,35.560;74.561;104.961;140.202;173.442;214.003;244.563;276.123;319.364;362.084;412.085;823.646;847.206;866.447;930.047;961.648;1025.888;1054.409;1082.649;1113.249;1163.850;1261.091
odo,42,20.0,5,25,2,router_21,router_12,4,True,,1333.05000001,0.8615999880941765,43.161;78.401;182.962;244.602;307.843;343.443;378.404;423.964;471.525;514.085;551.646;940.206;971.767;998.327;1025.927;1073.488;1117.047;1162.288;1248.889;1271.008;1296.490;1333.050
acp_m6,42,20.0,5,25,6,router_1,router_12,3,True,,784.08381251,0.8993847564676984,33.160;79.801;99.121;124.921;155.121;169.321;179.962;193.602;266.243;270.922;285.122;588.082;614.322;643.643;668.283;676.923;689.643;692.443;716.683;719.323;774.964;784.084
acp_m6,42,20.0,5,25,7,router_1,router_12,3,True,,630.20336251,0.9074440288829766,18.360;61.161;91.801;117.042;124.361;133.561;147.202;160.442;170.682;181.602;190.402;500.962;516.602;522.842;543.483;563.723;567.363;578.003;580.083;598.843;608.483;630.203
acp_m6,42,20.0,5,25,8,router_1,router_12,3,True,,850.12648751,0.897020950466911,9.560;40.760;67.401;80.641;111.801;159.602;176.802;197.602;217.403;264.043;295.684;597.844;627.084;655.324;678.565;686.805;707.125;742.925;766.726;822.966;824.926;850.126
acp_m6,42,20.0,5,25,21,router_2,router_12,5,True,,1035.92612501,0.8202291722374802,15.840;31.640;93.881;128.001;135.281;152.521;201.642;243.922;254.643;292.843;319.123;805.404;809.244;821.084;850.924;869.764;908.965;953.685;967.405;1002.726;1018.925;1035.926
acp_m6,42,20.0,5,25,22,router_2,router_12,5,True,,876.60521251,0.8271125041169192,43.241;51.961;70.801;83.521;110.641;127.961;172.082;193.202;201.602;222.042;228.282;657.123;660.963;679.803;705.523;709.363;733.084;741.804;804.924;808.764;839.885;876.605
acp_m6,42,20.0,5,25,23,router_2,router_12,5,False,,0.0,0.0,34.240;56.440;84.241;164.362;186.081;254.202;262.322;277.163;293.403;303.643;317.282
acp_m6,42,20.0,5,25,24,router_4,router_12,4,True,,1011.56847501,0.858734049385288,53.561;63.561;75.801;107.041;119.282;138.482;196.402;225.643;237.883;244.683;278.003;667.164;694.764;740.765;786.766;807.966;816.366;826.366;856.606;896.367;923.967;1011.568
acp_m6,42,20.0,5,25,25,router_4,router_12,4,True,,667.84357501,0.8734438991840413,20.160;33.320;45.321;66.561;81.401;89.921;118.321;131.881;137.122;153.242;167.122;520.282;537.442;543.602;558.402;570.242;593.603;622.643;630.643;641.043;662.644;667.844
acp_m6,42,20.0,5,25,26,router_4,router_12,4,True,,1006.88878751,0.8609690095119406,15.960;43.561;74.401;108.521;126.521;150.361;186.122;227.323;245.563;289.323;307.324;681.284;734.485;763.685;855.287;876.487;892.887;909.127;927.288;942.088;965.688;1006.889
acp_m6,42,20.0,5,25,12,router_7,router_12,3,True,,654.64366251,0.8973136164068561,25.360;40.001;48.160;55.200;68.241;83.361;106.561;113.201;123.041;127.721;236.922;539.082;541.282;549.483;564.683;576.483;597.283;604.083;606.883;627.683;640.844;654.644
