backend,seed,inter_node_distance_km,database_size_log,num_nodes,query_id,src,dst,hop_distance,success,failure_reason,tts_ms,fidelity,pair_arrival_ms
odo,42,10.0,10,25,6,router_1,router_12,3,True,,1029.79958751,0.912120635192541,24.660;43.410;57.061;84.501;108.191;117.361;125.011;139.701;157.012;169.162;199.312;211.463;218.653;227.063;252.173;264.684;283.124;305.034;318.684;328.194;338.305;650.815;676.465;693.776;712.216;728.406;740.426;754.826;776.937;784.877;794.097;800.007;830.447;887.888;906.858;915.168;923.568;959.259;996.829;1008.139;1011.649;1029.800
odo,42,10.0,10,25,7,router_1,router_12,3,True,,1084.68108751,0.9118940486227223,23.910;33.810;52.711;70.401;78.711;92.421;103.822;124.972;129.912;142.072;164.722;179.123;208.063;231.533;242.474;267.584;304.695;324.635;343.825;386.266;405.096;718.956;737.107;752.547;786.738;797.307;817.998;833.438;837.418;871.318;895.759;899.869;920.559;946.499;964.410;1007.600;1016.291;1028.310;1037.750;1055.221;1070.371;1084.681
odo,42,10.0,10,25,8,router_1,router_12,3,True,,1244.70526251,0.9103647950457997,14.310;37.251;72.191;137.132;151.823;168.013;177.083;187.273;194.183;217.873;236.384;253.094;288.035;294.945;321.345;354.036;365.346;370.746;386.936;422.627;437.107;744.967;750.277;814.178;831.578;859.019;881.959;898.899;912.489;946.600;955.750;980.191;997.131;1016.111;1029.301;1054.872;1072.782;1100.683;1142.373;1197.484;1220.795;1244.705
odo,42,10.0,10,25,21,router_2,router_12,5,True,,1447.44451251,0.837918105530135,15.690;36.841;81.061;118.282;154.582;184.273;221.123;237.073;252.764;287.254;300.694;327.385;356.605;386.576;448.017;468.686;504.236;514.127;539.127;576.598;596.068;1010.258;1021.948;1054.499;1073.549;1084.139;1101.229;1119.919;1128.610;1157.800;1167.910;1191.460;1215.011;1230.851;1255.951;1290.442;1315.912;1360.133;1387.823;1407.264;1420.754;1447.445
odo,42,10.0,10,25,22,router_2,router_12,5,True,,1460.75471251,0.8371975962781351,60.691;72.991;100.982;119.882;154.352;166.293;180.022;201.933;221.403;232.223;261.914;275.644;292.294;305.194;317.484;373.285;381.375;406.226;425.326;456.047;477.917;920.608;949.828;960.048;1019.139;1061.830;1082.520;1094.811;1155.862;1173.052;1190.242;1214.182;1241.903;1253.093;1304.814;1329.074;1365.955;1386.895;1412.024;1437.495;1446.064;1460.755
odo,42,10.0,10,25,23,router_2,router_12,5,True,,1620.36711251,0.834085843192998,80.191;105.662;116.491;137.781;153.081;165.971;213.912;233.403;259.623;265.353;300.573;323.544;332.484;380.085;419.275;436.465;475.035;501.256;518.446;536.386;554.537;980.727;1029.028;1060.468;1097.189;1101.409;1149.630;1187.070;1217.791;1238.761;1255.202;1290.602;1303.292;1366.493;1394.964;1409.184;1434.624;1473.285;1493.975;1560.666;1597.387;1620.367
odo,42,10.0,10,25,24,router_4,router_12,4,True,,1285.31470001,0.8742427223618279,37.861;60.501;84.111;104.502;114.612;128.112;153.973;165.583;198.943;222.154;243.294;293.685;307.904;324.015;343.785;378.915;392.086;402.946;419.057;446.417;467.717;826.028;841.778;862.388;925.319;944.430;959.810;980.950;1003.810;1021.951;1056.061;1077.952;1094.152;1133.293;1147.153;1178.793;1192.963;1205.324;1225.184;1243.544;1258.924;1285.315
odo,42,10.0,10,25,25,router_4,router_12,4,True,,1313.60548751,0.8741292114351316,23.610;33.501;62.141;85.751;111.252;121.362;136.062;166.203;184.963;230.264;243.154;266.865;296.255;313.055;338.696;361.556;379.256;392.897;425.507;446.118;484.508;858.869;877.169;885.869;913.760;932.650;946.290;964.670;982.811;1005.611;1026.751;1045.112;1078.472;1115.003;1137.863;1153.753;1172.123;1196.484;1212.464;1235.104;1269.745;1313.605
odo,42,10.0,10,25,26,router_4,router_12,4,True,,1290.52492501,0.8747484060006103,26.610;39.960;56.461;92.821;122.962;136.922;184.623;198.483;216.843;228.113;244.144;272.034;281.034;305.925;322.035;341.145;372.786;378.946;442.247;455.137;468.027;840.138;867.278;887.139;897.039;910.019;936.420;959.060;973.670;993.530;1026.671;1056.072;1068.212;1088.012;1098.652;1134.043;1171.904;1211.264;1221.994;1234.354;1255.134;1290.525
odo,42,10.0,10,25,12,router_7,router_12,3,True,,1141.37300001,0.9096320843213771,40.261;54.510;63.661;75.811;82.711;108.571;125.432;144.332;148.372;159.982;166.132;194.773;219.133;240.574;282.044;292.904;307.744;340.815;348.675;388.786;401.686;709.546;732.406;749.266;768.907;804.517;833.918;843.818;871.179;878.289;908.129;950.490;967.890;973.500;978.150;982.800;1014.661;1030.771;1051.012;1101.272;1112.132;1141.373
